ens member,ϕ0,ϕ1,ϕ2,ϕ3,ϕ4,var
0,0.08688086188582765,0.3413729051351756,0.33521267802581123,-0.0003439597746651844,0.048481968500602955,0.6166163008215637
1,-0.045652941746936675,0.21912422797523942,0.2125288126192084,0.1110561565687988,0.057305806736030904,0.7933907849886693
2,-0.04115867734312719,0.31768811734985236,0.1865046811256002,0.08019510304671167,0.07713451494800767,0.7241351715473882
3,0.02726540225027157,0.3607734185491466,0.15769765894485235,0.12184098019963496,0.08114725146211238,0.6572095180500643
4,-0.012639027081195575,0.24938085648389208,0.2870050652997146,0.023912829085638968,0.09251238273211751,0.714747498381464
5,-0.022042902916395705,0.33965421041574323,0.15894226382683604,-0.006058513406080887,0.20100713614783547,0.7085100852451759
6,-0.13570096209096918,0.31927856624247086,0.309909118029087,0.06106865676910698,0.025487018457319804,0.6452161079970969
7,-0.0991956157795039,0.4628922386369223,0.22527005480218285,0.002056180986913207,0.1004469708187194,0.514436933036966
8,-0.055791838727538505,0.24930536924529745,0.21523949346157428,0.1421091145199654,0.08715925597764591,0.7092686593558203
9,-0.12070336422957001,0.4987308946180698,0.12574721338126627,0.05548890922870692,0.10412739728880784,0.5350598005927937
10,-0.13570096209096918,0.31927856624247086,0.309909118029087,0.06106865676910698,0.025487018457319804,0.6452161079970969
11,-0.09222587018571067,0.33140818863238025,0.18845047005424542,0.09143143310840966,0.12284485817955754,0.655985537060782
12,-0.1253214475622279,0.34884459082711083,0.3844196851789112,0.009089936972992204,0.10036254658990494,0.42422527997182885
13,-0.11977229014466316,0.39353428576517857,0.23246679916443475,0.10401450108846222,0.078882147829677,0.5154366210044692
14,0.10342111262753921,0.19781376197874453,0.2960957887380478,0.11474170038200535,-0.04970600623913228,0.8039503554565788
15,-0.017310708804718307,0.23837064615867112,0.2677276162868338,0.047485871982067655,0.12270200267266569,0.7322566167881418
16,-0.16862387584305005,0.3014486153821666,0.40101590519733665,0.055821780566344376,0.005057985949691136,0.5626576774212948
17,-0.06616493935283566,0.21832155073533746,0.3422308329661413,0.05538167233134296,0.09360831870659383,0.6732197517246539
18,-0.053188995347593096,0.31510030572606545,0.25935554456570487,0.056432231895827425,0.08804954130379991,0.6567582367151514
19,0.0029607669683080805,0.32353640481952334,0.18561609313246152,0.11915484345508037,0.10376726851235465,0.6579182826295985
20,-0.0008766313769567942,0.4121088485851576,0.18502370260137863,0.13186524821962686,0.050708841367236954,0.5517817219647955
